parent_id,alumn_id
52578873033,['20533542161']
69487171154,['20533542161']
53268999066,['22001584449']
88409849998,['22001584449']
68095842654,['21494813915']
85714892299,['21722923106']
71993558834,['21722923106']
67963923800,['19453962395']
94584089831,['21498363920']
73735394472,['21498363920']
62483277993,"['20278862932', '20278882934']"
46041964106,"['20278862932', '20278882934']"
31491731871,['21906654329']
50638090037,['21906654329']
70321020090,['21999084440']
50677184770,['21999084440']
15121938475,['22446774713']
34712912297,['22446774713']
4069356017,['21467413978']
60658201728,['21467413978']
83356934271,['21505723961']
76883802680,['21505723961']
65140518343,['21612153072']
28175454670,['21612153072']
48930435049,['21971444434']
84222870942,['21971444434']
10031199823,['19453982391']
27011193524,['19453982391']
99402054351,['21241393733']
35041963850,['21241393733']
74188501618,['22084124427']
95269128189,['22084124427']
6465893733,['19453772390']
53025659160,['19453772390']
97542150667,['20349382059']
15449850751,['20349382059']
44185895981,['21641743005']
2002002367,['21855044280']
31343865627,['21855044280']
43886249981,['22003614441']
35160379840,['22003614441']
56400658090,['21999764443']
69094991711,['21999764443']
32878918223,['18769351183']
34414899797,['18769351183']
24445979836,['20805033333']
48910603641,['20805033333']
38041193803,['20809903336']
18402454916,['20485772144']
74605463079,['20485772144']
74844748663,['21292003710']
72335426523,['21292003710']
10650149794,['18779241196']
58256971581,['18779241196']
68101355775,['19454632394']
25455520203,['19454632394']
49051924288,['19454832397']
25694138857,['19454832397']
53394621691,"['19447602385', '19447522388']"
78437701170,"['19447602385', '19447522388']"
41756266985,['19740612317']
35510102460,['19740612317']
78362089291,['20575632107']
89294677399,['20575632107']
90072212298,['20819733337']
51261352508,['20819733337']
95525237033,['20810623336']
99737254736,"['20809903336', '20810623336']"
74405360038,['20044012716']
52927504163,['19422752335']
63980318830,['19422752335']
83980276203,['19428212349']
62489620294,['19428212349']
60500274910,['19448872382']
15619784463,['19448872382']
29576068035,"['19221022286', '19221062286']"
17993461047,"['19221022286', '19221062286']"
25434479336,['19166132222']
38663269496,['19166132222']
5888774901,['20076172701']
75882673617,['20076172701']
35461314093,['18797171125']
26550927163,['18797171125']
9678282123,['20512612104']
94225083391,['20512612104']
15450649627,['22308264684']
92278795009,['22308264684']
48378322390,['19679772383']
89720659703,['19679772383']
78845844878,['20035332787']
88964963752,['20035332787']
47709833365,['20819313330']
15492708267,['20819313330']
75009480254,['19338952231']
33788338014,['19338952231']
3490615141,"['22089794494', '22081544497']"
86563903342,"['22089794494', '22081544497']"
27485306561,['18789541126']
27001264647,['18789541126']
63023773030,['19209372280']
3518417645,['19209372280']
21962106255,['19678192380']
22433953967,['19678192380']
17360302298,['18797191128']
34846709691,['18797191128']
858008955,['19581622344']
89810725930,['19581622344']
84948592496,['19612412355']
63303502757,['19612412355']
54486513224,['18883191103']
18805148995,['18883191103']
36369228600,['19340142232']
33029782359,['19340142232']
54908850124,['19240492201']
34494410508,['19240492201']
12956226276,['18799101133']
23971787369,['18799101133']
29411740858,['18799371138']
9592709668,['18799371138']
40155671450,['18814021144']
97349664355,['19256962240']
68398669542,['19256962240']
64662113687,['19355892244']
91256569804,['19355892244']
56040971093,['18891181218']
1944033216,['18891181218']
67151949618,['19244712218']
71294153407,['19244712218']
58394468775,['19439992370']
84350194496,['19439992370']
95247523060,"['20489122142', '19408472329']"
38548650131,"['20489122142', '19408472329']"
74013485107,['19384442289']
36975025736,['19384442289']
34000956159,"['20463032067', '18801061138']"
9657344532,"['20463032067', '18801061138']"
4709240226,['18374511330']
47692027703,['18374511330']
47994070733,"['18774621187', '18166791373']"
52623170314,"['18774621187', '18166791373']"
99835632320,"['22422664798', '22422624794']"
5961719636,"['22422664798', '22422624794']"
15084359002,['18166511371']
63091138169,['18166511371']
30383908720,['18267711302']
42150170752,['18267711302']
30612577608,['18073711360']
18059220522,['18073711360']
12047949907,['18024391362']
13788296515,['18024391362']
28463127248,['18412451466']
82977583351,['18412451466']
23646716317,['18126461373']
87444896278,['18126461373']
89507872176,['18285001318']
92038620430,['18285001318']
42173615424,['18351141330']
76745246984,['18351141330']
64939114274,['21235163731']
56828658389,['18472581425']
1738405203,"['18158891372', '18159611372']"
98405287268,"['18158891372', '18159611372']"
55576262159,['18275611301']
74797217012,['18275611301']
57578030219,"['22002914445', '17856021357']"
6396930846,"['22002914445', '17856021357']"
28386704043,['18043911367']
56425862601,['18043911367']
14364385468,['17965091359']
39309167909,['17965091359']
4066426632,['18288961311']
7256248583,['18288961311']
43478278613,['18637661961']
26761317279,['18473681431']
88345659608,['18473681431']
18737076346,['18331131329']
15976876410,['18331131329']
43986950311,['17889241357']
69982548006,['17889241357']
79966478848,['17971771350']
18656060217,['17971771350']
11499857399,"['17987511359', '17986501357']"
16793583369,"['17987511359', '17986501357']"
81706967695,"['19427782344', '18385521343']"
33838304775,"['19427782344', '18385521343']"
1579809631,['18137301377']
91862114651,['18137301377']
23941807094,['17894201353']
21345263097,['17894201353']
14516007312,"['22001274442', '22000874440', '22001144441']"
37275867205,"['22001274442', '22000874440', '22001144441']"
99634612035,['18055201362']
30008610840,['18055201362']
53349276738,['17281850503']
83585218673,['17281850503']
70018111086,['18475701432']
66730128543,['18475701432']
6048968331,"['22002504440', '17222610597']"
39141729078,"['22002504440', '17222610597']"
32068258568,['17164090581']
37135700926,['17164090581']
73825600272,['17317140508']
89602343031,['17317140508']
67615954124,['17222840592']
96061329827,['17222840592']
95008706906,"['18783751115', '17177200581']"
92956647934,"['18783751115', '17177200581']"
96643354690,"['22606164941', '22605834940']"
63445480091,"['22606164941', '22605834940']"
35490304218,['17165120582']
42638574153,['17165120582']
47622296955,['17313590507']
62130004125,['17313590507']
64534843213,['17084440556']
83243197141,['17084440556']
70143825981,['17399740516']
27174812126,['17399740516']
2590322851,"['20470922007', '17088140558']"
54362194418,"['22173434664', '22173424666']"
66773926573,"['22173434664', '22173424666']"
85000576734,['17222410598']
11477448910,['17222410598']
15712300846,['17179920584']
40159743869,['17075220559']
61708947848,['17273990502']
21410971324,['17273990502']
11043883469,['17220680595']
29109056713,['17220680595']
62032141000,['17082760554']
70133499896,['17082760554']
38096465299,['17088940555']
44369466754,['17088940555']
55809448024,"['19802152410', '17224300597']"
50080957469,"['19802152410', '17224300597']"
85795197530,['17220970591']
70410601185,"['19668372385', '18674661990']"
18092022702,"['19668372385', '18674661990']"
89163697825,['17013240543']
59501327645,['17013240543']
5685663827,['17722520812']
16653593708,['17722520812']
29623456323,"['19807012446', '17021890547']"
13084065149,"['19807012446', '17021890547']"
83868257802,['17225100597']
92791940142,['17225100597']
30413554262,['17085390557']
9387583772,['17085390557']
45030034648,"['20657833124', '17224250593']"
70298993133,['17224250593']
48280291938,['17171990583']
46617647859,['17171990583']
57631107719,['16388139499']
522156614,['16388139499']
47154298008,['16420529404']
77175592899,['16420529404']
48948506611,['15899919418']
2001665658,['15899919418']
